Timestamp,Frame,TrackID,Class,Confidence,Gender,Age,X,Y,Width,Height
4.1,119,4,person,0.748,Man,28,501,306,48,103
4.1,119,1,person,0.731,Man,34,703,367,50,117
4.14,120,4,person,0.781,Man,28,502,306,47,100
4.14,120,1,person,0.737,Man,34,702,367,46,119
4.17,121,4,person,0.721,Man,28,504,307,42,97
4.17,121,1,person,0.75,Man,34,701,363,49,120
4.21,122,4,person,0.544,Man,28,507,309,35,79
4.21,122,1,person,0.648,Man,34,699,360,53,119
4.24,123,4,person,0.666,Man,28,509,309,33,88
4.24,123,1,person,0.774,Man,34,697,360,54,114
4.28,124,4,person,0.708,Man,28,510,307,31,94
4.28,124,1,person,0.8,Man,34,697,362,49,111
4.31,125,4,person,0.548,Man,28,511,307,28,81
4.31,125,1,person,0.735,Man,34,697,364,45,106
4.34,126,4,person,0.642,Man,28,511,309,28,86
4.34,126,1,person,0.765,Man,34,695,361,44,114
4.38,127,4,person,0.724,Man,28,511,310,31,91
4.38,127,1,person,0.764,Man,34,693,359,50,123
4.41,128,1,person,0.638,Man,34,691,358,53,120
4.45,129,1,person,0.542,Man,34,691,359,49,116
4.45,129,4,person,0.593,Man,28,510,310,32,70
4.48,130,1,person,0.684,Man,34,692,361,46,114
4.48,130,4,person,0.666,Man,28,510,306,42,97
4.52,131,1,person,0.734,Man,34,690,362,47,113
4.52,131,4,person,0.661,Man,28,510,306,38,92
4.55,132,1,person,0.721,Man,34,688,362,53,112
4.55,132,4,person,0.661,Man,28,510,309,35,85
4.59,133,1,person,0.702,Man,34,688,360,54,117
4.59,133,4,person,0.674,Man,28,510,311,35,90
4.62,134,1,person,0.695,Man,34,688,361,53,112
4.62,134,4,person,0.669,Man,28,510,309,35,94
4.66,135,1,person,0.751,Man,34,686,361,53,114
4.66,135,4,person,0.705,Man,28,511,307,43,101
4.69,136,1,person,0.77,Man,34,686,366,48,108
4.69,136,4,person,0.647,Man,28,510,305,45,97
4.72,137,1,person,0.757,Man,34,685,366,46,117
4.72,137,4,person,0.673,Man,28,510,306,48,92
4.76,138,1,person,0.658,Man,34,685,363,46,124
4.76,138,4,person,0.634,Man,28,509,307,41,87
4.79,139,1,person,0.529,Man,34,684,362,44,115
4.79,139,4,person,0.662,Man,28,509,308,36,78
4.83,140,1,person,0.532,Man,34,685,365,39,95
4.83,140,4,person,0.544,Man,28,509,308,35,64
4.86,141,1,person,0.587,Man,34,684,369,38,85
4.86,141,4,person,0.737,Man,28,508,305,36,88
4.9,142,1,person,0.728,Man,34,684,372,41,105
4.9,142,4,person,0.765,Man,28,506,303,40,94
4.93,143,1,person,0.737,Man,34,683,371,48,112
4.93,143,4,person,0.619,Man,28,508,306,38,97
4.97,144,1,person,0.556,Man,34,680,369,51,108
4.97,144,4,person,0.731,Man,28,508,309,37,93
5.0,145,1,person,0.648,Man,34,676,371,56,108
5.0,145,4,person,0.715,Man,28,509,306,37,95
5.03,146,1,person,0.665,Man,34,676,373,55,100
5.03,146,4,person,0.72,Man,28,510,303,41,100
5.07,147,1,person,0.749,Man,34,676,375,51,111
5.07,147,4,person,0.723,Man,28,511,302,48,107
5.1,148,1,person,0.742,Man,34,675,373,47,119
5.1,148,4,person,0.678,Man,28,509,301,53,108
5.14,149,1,person,0.607,Man,34,674,372,50,125
5.14,149,4,person,0.622,Man,28,507,301,50,102
5.17,150,1,person,0.578,Man,34,671,375,45,109
5.17,150,4,person,0.629,Man,28,507,305,51,98
5.21,151,1,person,0.646,Man,34,669,378,43,107
5.21,151,4,person,0.697,Man,28,510,305,44,98
5.24,152,1,person,0.731,Man,34,668,380,45,110
5.24,152,4,person,0.724,Man,28,512,303,45,104
5.28,153,1,person,0.705,Man,34,668,379,47,93
5.28,153,4,person,0.727,Man,28,513,302,44,103
5.31,154,1,person,0.728,Man,34,665,377,50,104
5.31,154,4,person,0.724,Man,28,514,302,45,104
5.34,155,1,person,0.717,Man,34,663,373,50,100
5.34,155,4,person,0.745,Man,28,515,305,43,99
5.38,156,1,person,0.755,Man,34,662,374,48,93
5.38,156,4,person,0.735,Man,28,517,306,37,100
5.41,157,1,person,0.695,Man,34,661,377,48,90
5.41,157,4,person,0.666,Man,28,519,304,37,104
5.45,158,1,person,0.782,Man,34,660,378,44,102
5.45,158,4,person,0.599,Man,28,518,303,46,112
5.48,159,1,person,0.73,Man,34,657,377,45,111
5.48,159,4,person,0.639,Man,28,515,302,58,117
5.52,160,1,person,0.628,Man,34,655,376,44,114
5.52,160,4,person,0.59,Man,28,516,305,46,102
5.55,161,1,person,0.723,Man,34,653,376,42,99
5.55,161,4,person,0.703,Man,28,518,308,44,99
5.59,162,1,person,0.588,Man,34,652,376,48,111
5.59,162,4,person,0.669,Man,28,517,309,43,103
5.62,163,1,person,0.684,Man,34,651,376,47,116
5.66,164,1,person,0.725,Man,34,651,373,49,116
5.66,164,4,person,0.73,Man,28,518,302,40,108
5.69,165,1,person,0.737,Man,34,650,370,51,111
5.72,166,1,person,0.626,Man,34,649,369,51,122
5.72,166,4,person,0.681,Man,28,522,303,33,102
5.76,167,1,person,0.75,Man,34,648,370,52,118
5.76,167,4,person,0.659,Man,28,525,304,29,98
5.79,168,1,person,0.632,Man,34,649,372,45,104
5.79,168,4,person,0.684,Man,28,525,303,33,101
5.83,169,1,person,0.727,Man,34,649,371,41,110
5.83,169,4,person,0.627,Man,28,527,301,32,99
5.86,170,1,person,0.665,Man,34,650,370,44,120
5.86,170,4,person,0.586,Man,28,528,298,35,110
5.9,171,1,person,0.615,Man,34,647,368,52,127
5.9,171,4,person,0.668,Man,28,529,298,36,105
5.93,172,1,person,0.632,Man,34,647,368,53,126
5.93,172,4,person,0.746,Man,28,529,300,39,103
5.97,173,1,person,0.743,Man,34,647,371,52,125
5.97,173,4,person,0.703,Man,28,531,301,38,102
6.0,174,1,person,0.732,Man,34,646,371,50,120
6.0,174,4,person,0.62,Man,28,532,301,40,108
6.03,175,1,person,0.745,Man,34,647,370,47,118
6.03,175,4,person,0.599,Man,28,534,300,38,110
6.07,176,1,person,0.706,Man,34,646,368,49,124
6.07,176,4,person,0.593,Man,28,535,300,38,112
6.1,177,1,person,0.659,Man,34,646,367,54,124
6.1,177,4,person,0.723,Man,28,538,301,36,112
6.14,178,1,person,0.52,Man,34,647,368,52,121
6.14,178,4,person,0.636,Man,28,542,301,33,105
6.17,179,1,person,0.718,Man,34,647,371,48,118
6.17,179,4,person,0.59,Man,28,541,302,34,101
